Reach,OBJECTID *,Shape *,MoreInfo,WDID,StructType,StructName,ID,Name,Comment,MERGE_SRC,avg_tot_impact,abs_impact,sign,geometry,
y1,243,Point,https://dwr.state.co.us/Tools/Structures/5800920,5800920,Ditch,WALTON CREEK DITCH,5800920,WALTON CREEK DITCH  _DIV,5800920,Yampa Structures\Nodes upstream of Deerlodge gage,3802.479841,3802.479841,1,c(348016, 4474372)
y1,193,Point,https://dwr.state.co.us/Tools/Structures/5800627,5800627,Ditch,ENTERPRISE DITCH,5800627,ENTERPRISE DITCH    _DIV,5800627,Yampa Structures\Nodes upstream of Deerlodge gage,1655.319759,1655.319759,1,c(347657, 4474720)
y1,171,Point,https://dwr.state.co.us/Tools/Structures/5800539,5800539,Ditch,BIG MESA DITCH,5800539,BIG MESA DITCH      _DIV,5800539,Yampa Structures\Nodes upstream of Deerlodge gage,1608.817523,1608.817523,1,c(329333, 4437273)
y1,177,Point,https://dwr.state.co.us/Tools/Structures/5800564,5800564,Ditch,BUCKINGHAM MANDALL D,5800564,BUCKINGHAM MANDALL D_DIV,5800564,Yampa Structures\Nodes upstream of Deerlodge gage,1586.156638,1586.156638,1,c(332605, 4440178)
y1,239,Point,https://dwr.state.co.us/Tools/Structures/5800897,5800897,Ditch,SUTTLE DITCH,5800897,SUTTLE DITCH        _DIV,5800897,Yampa Structures\Nodes upstream of Deerlodge gage,1251.9985,1251.9985,1,c(346336, 4470393)
y2,243,Point,https://dwr.state.co.us/Tools/Structures/5800920,5800920,Ditch,WALTON CREEK DITCH,5800920,WALTON CREEK DITCH  _DIV,5800920,Yampa Structures\Nodes upstream of Deerlodge gage,3802.479841,3802.479841,1,c(348016, 4474372)
y2,337,Point,https://dwr.state.co.us/Tools/Structures/5700539,5700539,Ditch,GIBRALTAR DITCH,5700539,GIBRALTAR DITCH     _DIV,5700539,Yampa Structures\Nodes upstream of Deerlodge gage,2154.823731,2154.823731,1,c(317583, 4483999)
y2,193,Point,https://dwr.state.co.us/Tools/Structures/5800627,5800627,Ditch,ENTERPRISE DITCH,5800627,ENTERPRISE DITCH    _DIV,5800627,Yampa Structures\Nodes upstream of Deerlodge gage,1655.319759,1655.319759,1,c(347657, 4474720)
y2,171,Point,https://dwr.state.co.us/Tools/Structures/5800539,5800539,Ditch,BIG MESA DITCH,5800539,BIG MESA DITCH      _DIV,5800539,Yampa Structures\Nodes upstream of Deerlodge gage,1608.817523,1608.817523,1,c(329333, 4437273)
y2,177,Point,https://dwr.state.co.us/Tools/Structures/5800564,5800564,Ditch,BUCKINGHAM MANDALL D,5800564,BUCKINGHAM MANDALL D_DIV,5800564,Yampa Structures\Nodes upstream of Deerlodge gage,1586.156638,1586.156638,1,c(332605, 4440178)
y3,9,Point,https://dwr.state.co.us/Tools/Structures/4400522,4400522,Power Plant,CRAIG STATION D & PL #1,4400522,CRAIG STATION D & PL_DIV,4400522,Yampa Structures\Nodes upstream of Deerlodge gage,6584.999797,6584.999797,1,c(278486, 4484324)
y3,243,Point,https://dwr.state.co.us/Tools/Structures/5800920,5800920,Ditch,WALTON CREEK DITCH,5800920,WALTON CREEK DITCH  _DIV,5800920,Yampa Structures\Nodes upstream of Deerlodge gage,3802.479841,3802.479841,1,c(348016, 4474372)
y3,144,Point,https://dwr.state.co.us/Tools/Structures/5700512,5700512,Pipeline,COLO UTILITIES D & PL,5700512,COLO UTILITIES D & P_DIV,5700512,Yampa Structures\Nodes upstream of Deerlodge gage,2509.9999,2509.9999,1,c(316879, 4484183)
y3,337,Point,https://dwr.state.co.us/Tools/Structures/5700539,5700539,Ditch,GIBRALTAR DITCH,5700539,GIBRALTAR DITCH     _DIV,5700539,Yampa Structures\Nodes upstream of Deerlodge gage,2154.823731,2154.823731,1,c(317583, 4483999)
y3,51,Point,https://dwr.state.co.us/Tools/Structures/4400694,4400694,Ditch,MAYBELL CANAL,4400694,MAYBELL CANAL       _DIV,4400694,Yampa Structures\Nodes upstream of Deerlodge gage,1996.222344,1996.222344,1,c(246373.7, 4484563.2)
y4,9,Point,https://dwr.state.co.us/Tools/Structures/4400522,4400522,Power Plant,CRAIG STATION D & PL #1,4400522,CRAIG STATION D & PL_DIV,4400522,Yampa Structures\Nodes upstream of Deerlodge gage,6584.999797,6584.999797,1,c(278486, 4484324)
y4,243,Point,https://dwr.state.co.us/Tools/Structures/5800920,5800920,Ditch,WALTON CREEK DITCH,5800920,WALTON CREEK DITCH  _DIV,5800920,Yampa Structures\Nodes upstream of Deerlodge gage,3802.479841,3802.479841,1,c(348016, 4474372)
y4,144,Point,https://dwr.state.co.us/Tools/Structures/5700512,5700512,Pipeline,COLO UTILITIES D & PL,5700512,COLO UTILITIES D & P_DIV,5700512,Yampa Structures\Nodes upstream of Deerlodge gage,2509.9999,2509.9999,1,c(316879, 4484183)
y4,337,Point,https://dwr.state.co.us/Tools/Structures/5700539,5700539,Ditch,GIBRALTAR DITCH,5700539,GIBRALTAR DITCH     _DIV,5700539,Yampa Structures\Nodes upstream of Deerlodge gage,2154.823731,2154.823731,1,c(317583, 4483999)
y4,51,Point,https://dwr.state.co.us/Tools/Structures/4400694,4400694,Ditch,MAYBELL CANAL,4400694,MAYBELL CANAL       _DIV,4400694,Yampa Structures\Nodes upstream of Deerlodge gage,1996.222344,1996.222344,1,c(246373.7, 4484563.2)
y5,9,Point,https://dwr.state.co.us/Tools/Structures/4400522,4400522,Power Plant,CRAIG STATION D & PL #1,4400522,CRAIG STATION D & PL_DIV,4400522,Yampa Structures\Nodes upstream of Deerlodge gage,6584.999797,6584.999797,1,c(278486, 4484324)
y5,243,Point,https://dwr.state.co.us/Tools/Structures/5800920,5800920,Ditch,WALTON CREEK DITCH,5800920,WALTON CREEK DITCH  _DIV,5800920,Yampa Structures\Nodes upstream of Deerlodge gage,3802.479841,3802.479841,1,c(348016, 4474372)
y5,144,Point,https://dwr.state.co.us/Tools/Structures/5700512,5700512,Pipeline,COLO UTILITIES D & PL,5700512,COLO UTILITIES D & P_DIV,5700512,Yampa Structures\Nodes upstream of Deerlodge gage,2509.9999,2509.9999,1,c(316879, 4484183)
y5,337,Point,https://dwr.state.co.us/Tools/Structures/5700539,5700539,Ditch,GIBRALTAR DITCH,5700539,GIBRALTAR DITCH     _DIV,5700539,Yampa Structures\Nodes upstream of Deerlodge gage,2154.823731,2154.823731,1,c(317583, 4483999)
y5,125,Point,https://dwr.state.co.us/Tools/Structures/5400583,5400583,Ditch,TROWEL DITCH,5400583,TROWEL DITCH        _DIV,5400583,Yampa Structures\Nodes upstream of Deerlodge gage,2099.859177,2099.859177,1,c(270990, 4541396)
